PO_SERIAL,PO_BILL_NUMBER,PO_DATE,PO_EMP_ID,PO_CUST_ID,PO_ITEM_DESC,PO_QUANTITY,PO_UNIT_PRICE,PO_TOTAL_PRICE,
100001,100001-782767-001,20080111,782767,1,"Bill: 100001-782767-001, Item: 1",1,10,10,
100002,100002-782767-001,20080111,782767,1,"Bill: 100002-782767-001, Item: 2",1,12,12,
100003,100003-978283-003,20010101,978283,3,"Bill: 100003-978283-003, Item: 1",1,145,145,
100004,100004-100220-004,20180612,100220,4,"Bill: 100004-100220-004, Item: 1",1,23,23,
100005,100005-102345-005,20160523,102345,5,"Bill: 100005-102345-005, Item: 1",1,45,45,
100006,100006-102345-006,20110109,102345,6,"Bill: 100006-102345-006, Item: 1",1,65,65,
100007,100007-100220-007,20000102,100220,7,"Bill: 100007-100220-007, Item: 1",1,89,89,
100008,100008-100220-008,20180823,100220,8,"Bill: 100008-100220-008, Item: 1",1,800,800,
100009,100009-100220-009,20170723,100220,9,"Bill: 100009-100220-009, Item: 1",1,10000,10000,
100010,100010-789578-010,20120101,789578,10,"Bill: 100010-789578-010, Item: 1",1,12,12,
100011,100011-123238-002,20120304,123238,2,"Bill: 100011-123238-002, Item: 1",1,43,43,
100012,100012-782767-008,20130908,782767,8,"Bill: 100012-782767-008, Item: 1",1,24,24,
100013,100013-102345-009,20101002,102345,9,"Bill: 100013-102345-009, Item: 1",1,90,90,
100014,100014-203748-010,20080304,203748,10,"Bill: 100014-203748-010, Item: 1",1,60,60,
100015,100015-203748-007,20150423,203748,7,"Bill: 100015-203748-007, Item: 3",1,40,40,
100016,100016-203748-007,20150423,203748,7,"Bill: 100016-203748-007, Item: 1",1,1234,1234,
100017,100017-203748-007,20150423,203748,7,"Bill: 100017-203748-007, Item: 2",1,435,435,
100018,100018-123238-002,20000505,123238,2,"Bill: 100018-123238-002, Item: 1",1,60,60,
100019,100019-123238-003,20140626,123238,3,"Bill: 100019-123238-003, Item: 1",1,80,80,
100020,100020-102345-004,20180101,102345,4,"Bill: 100020-102345-004, Item: 1",1,90,90,
100021,100021-100220-001,20180109,100220,1,"Bill: 100021-100220-001, Item: 1",1,100,100,
100022,100022-782767-003,20181002,782767,3,"Bill: 100022-782767-003, Item: 1",1,120,120,
100023,100023-789578-004,20180909,789578,4,"Bill: 100023-789578-004, Item: 1",1,320,320,
100024,100024-324315-005,20180304,324315,5,"Bill: 100024-324315-005, Item: 1",1,560,560,
100025,100025-789578-006,20170403,789578,6,"Bill: 100025-789578-006, Item: 1",1,700,700,
